"Ménages privés selon la taille du ménage et la région, 1970-2000"

"Canton (-) / District (>>) / Commune (......)","1980","1990","2000"
"......0001 Aeugst am Albis",277,453,607
"......0002 Affoltern am Albis",2935,3742,4144
"......0003 Bonstetten",764,1072,1591
"......0004 Hausen am Albis",739,979,1181
"......0005 Hedingen",695,837,1156
"......0006 Kappel am Albis",170,237,329
"......0007 Knonau",305,371,553
"......0008 Maschwanden",137,188,213
"......0009 Mettmenstetten",712,1023,1415
"......0010 Obfelden",1130,1377,1625
"......0011 Ottenbach",469,725,840
"......0012 Rifferswil",183,221,275
"......0013 Stallikon",468,731,1078
"......0014 Wettswil am Albis",1155,1328,1598
"......0021 Adlikon",126,167,204
"......0022 Benken (ZH)",170,235,282
"......0023 Berg am Irchel",126,161,215
"......0024 Buch am Irchel",135,181,254
"......0025 Dachsen",384,448,597
"......0026 Dorf",92,144,220
"......0027 Feuerthalen",1115,1221,1303
"......0028 Flaach",276,332,411
"......0029 Flurlingen",381,447,520
"......0030 Andelfingen",538,580,660
"......0031 Henggart",304,464,657
"......0032 Humlikon",98,112,155
"......0033 Kleinandelfingen",425,519,690
"......0034 Laufen-Uhwiesen",398,509,565
"......0035 Marthalen",437,576,684
"......0036 Oberstammheim",271,350,386
"......0037 Ossingen",308,402,484
"......0038 Rheinau",548,552,558
"......0039 Thalheim an der Thur",153,186,262
"......0040 Trüllikon",290,372,389
"......0041 Truttikon",97,114,151
"......0042 Unterstammheim",228,296,308
"......0043 Volken",58,77,100
"......0044 Waltalingen",144,194,240
"......0051 Bachenbülach",966,1081,1307
"......0052 Bassersdorf",2023,2777,3137
"......0053 Bülach",4470,5363,5985
"......0054 Dietlikon",1987,2434,2776
"......0055 Eglisau",849,1025,1170
"......0056 Embrach",2092,2729,3044
"......0057 Freienstein-Teufen",503,650,799
"......0058 Glattfelden",917,1223,1399
"......0059 Hochfelden",315,423,603
"......0060 Höri",580,686,910
"......0061 Hüntwangen",218,254,318
"......0062 Kloten",6814,8072,8160
"......0063 Lufingen",249,372,502
"......0064 Nürensdorf",1102,1495,1866
"......0065 Oberembrach",209,350,398
"......0066 Opfikon",4931,5775,5851
"......0067 Rafz",806,948,1273
"......0068 Rorbas",464,807,908
"......0069 Wallisellen",4439,5010,5398
"......0070 Wasterkingen",105,168,212
"......0071 Wil (ZH)",297,393,501
"......0072 Winkel",705,905,1454
"......0081 Bachs",114,180,211
"......0082 Boppelsen",226,305,415
