"Statistique de la superficie: Nomenclature standard (NOAS04) par district et commune, en hectares"

"District (>>) / Commune (......)","1979/85","1992/97","2004/09"
"1 ......Aeugst am Albis",312,356,396
"2 ......Affoltern am Albis",928,1120,1304
"3 ......Bonstetten",368,408,464
"4 ......Hausen am Albis",560,616,692
"5 ......Hedingen",344,452,520
"6 ......Kappel am Albis",212,236,260
"7 ......Knonau",392,404,468
"8 ......Maschwanden",188,152,168
"9 ......Mettmenstetten",572,660,832
"10 ......Obfelden",556,616,732
"11 ......Ottenbach",336,372,416
"12 ......Rifferswil",232,240,272
"13 ......Stallikon",352,448,532
"14 ......Wettswil am Albis",400,460,616
"21 ......Adlikon",252,256,292
"22 ......Benken (ZH)",160,164,184
"23 ......Berg am Irchel",116,124,140
"24 ......Buch am Irchel",236,256,276
"25 ......Dachsen",272,280,340
"26 ......Dorf",68,136,276
"27 ......Feuerthalen",372,392,428
"28 ......Flaach",300,312,344
"29 ......Flurlingen",164,212,220
"30 ......Andelfingen",352,372,424
"31 ......Henggart",168,264,280
"32 ......Humlikon",96,112,140
"33 ......Kleinandelfingen",440,492,544
"34 ......Laufen-Uhwiesen",272,304,312
"35 ......Marthalen",532,560,668
"36 ......Oberstammheim",312,316,320
"37 ......Ossingen",416,444,488
"38 ......Rheinau",352,384,416
"39 ......Thalheim an der Thur",208,220,232
"40 ......Trüllikon",272,288,332
"41 ......Truttikon",104,112,112
"42 ......Unterstammheim",284,292,328
"43 ......Volken",68,72,76
"44 ......Waltalingen",196,212,220
"51 ......Bachenbülach",356,376,408
"52 ......Bassersdorf",896,956,1104
"53 ......Bülach",1616,1756,1928
"54 ......Dietlikon",696,744,800
"55 ......Eglisau",568,588,632
"56 ......Embrach",872,924,1036
"57 ......Freienstein-Teufen",268,280,324
"58 ......Glattfelden",816,876,964
"59 ......Hochfelden",160,208,236
"60 ......Höri",316,344,364
"61 ......Hüntwangen",360,300,472
"62 ......Kloten",2700,2972,3344
"63 ......Lufingen",228,264,316
"64 ......Nürensdorf",728,800,888
