"Population résidante au domicile économique selon les niveaux géographiques institutionnels et la religion, 1970-2000"

"Canton (-) / District (>>) / Commune (......)","1980","1990","2000"
"......0001 Aeugst am Albis",182,282,306
"......0002 Affoltern am Albis",3137,3477,3286
"......0003 Bonstetten",627,805,1143
"......0004 Hausen am Albis",723,864,932
"......0005 Hedingen",609,700,854
"......0006 Kappel am Albis",121,170,218
"......0007 Knonau",292,328,506
"......0008 Maschwanden",66,111,135
"......0009 Mettmenstetten",571,743,1036
"......0010 Obfelden",1151,1361,1281
"......0011 Ottenbach",366,613,610
"......0012 Rifferswil",77,143,149
"......0013 Stallikon",394,557,743
"......0014 Wettswil am Albis",1114,1083,1130
"......0021 Adlikon",26,51,50
"......0022 Benken (ZH)",46,78,97
"......0023 Berg am Irchel",26,50,49
"......0024 Buch am Irchel",30,51,71
"......0025 Dachsen",200,220,307
"......0026 Dorf",20,29,65
"......0027 Feuerthalen",901,826,802
"......0028 Flaach",92,123,166
"......0029 Flurlingen",270,248,268
"......0030 Andelfingen",281,301,307
"......0031 Henggart",140,239,298
"......0032 Humlikon",28,42,66
"......0033 Kleinandelfingen",196,235,340
"......0034 Laufen-Uhwiesen",228,269,267
"......0035 Marthalen",134,196,271
"......0036 Oberstammheim",114,167,134
"......0037 Ossingen",94,174,184
"......0038 Rheinau",682,615,529
"......0039 Thalheim an der Thur",35,65,86
"......0040 Trüllikon",79,122,138
"......0041 Truttikon",22,42,58
"......0042 Unterstammheim",65,84,78
"......0043 Volken",16,29,38
"......0044 Waltalingen",32,55,76
"......0051 Bachenbülach",1062,1002,920
"......0052 Bassersdorf",1779,2273,2292
"......0053 Bülach",4091,4319,4074
"......0054 Dietlikon",1944,2140,2007
"......0055 Eglisau",524,586,628
"......0056 Embrach",1747,2303,2238
"......0057 Freienstein-Teufen",366,445,498
"......0058 Glattfelden",770,891,818
"......0059 Hochfelden",245,267,419
"......0060 Höri",681,739,750
"......0061 Hüntwangen",68,101,120
"......0062 Kloten",6300,6390,5653
"......0063 Lufingen",149,245,291
"......0064 Nürensdorf",953,1147,1239
"......0065 Oberembrach",115,200,176
"......0066 Opfikon",4891,5065,4204
"......0067 Rafz",485,495,712
"......0068 Rorbas",387,545,567
"......0069 Wallisellen",3856,4065,3858
"......0070 Wasterkingen",44,70,91
"......0071 Wil (ZH)",105,152,190
"......0072 Winkel",488,587,768
"......0081 Bachs",43,88,99
"......0082 Boppelsen",111,145,214
"......0083 Buchs (ZH)",496,1108,1204
"......0084 Dällikon",900,898,1085
"......0085 Dänikon",296,365,497
"......0086 Dielsdorf",1381,1567,1469
"......0087 Hüttikon",102,103,153
"......0088 Neerach",227,406,610
"......0089 Niederglatt",979,1123,1139
"......0090 Niederhasli",1784,1983,2333
"......0091 Niederweningen",381,500,696
"......0092 Oberglatt",1472,1537,1584
"......0093 Oberweningen",187,329,299
"......0094 Otelfingen",317,472,523
"......0095 Regensberg",141,138,123
"......0096 Regensdorf",4899,5270,4779
"......0097 Rümlang",1729,1730,1595
"......0098 Schleinikon",89,119,122
"......0099 Schöfflisdorf",172,259,251
"......0100 Stadel",149,215,297
"......0101 Steinmaur",528,701,749
"......0102 Weiach",154,148,174
"......0111 Bäretswil",683,891,924
"......0112 Bubikon",846,1249,1424
"......0113 Dürnten",1620,1875,1744
"......0114 Fischenthal",323,379,407
"......0115 Gossau (ZH)",1545,1827,2216
"......0116 Grüningen",531,699,796
"......0117 Hinwil",2087,2359,2425
"......0118 Rüti (ZH)",3770,4056,3847
"......0119 Seegräben",310,288,319
"......0120 Wald (ZH)",3226,3224,2749
"......0121 Wetzikon (ZH)",5619,5799,5683
"......0131 Adliswil",6501,6318,5615
"......0132 Hirzel",333,466,526
"......0133 Horgen",6558,6333,5863
"......0134 Hütten",252,298,314
"......0135 Kilchberg (ZH)",2268,2203,2020
"......0136 Langnau am Albis",2676,2532,2294
"......0137 Oberrieden",1158,1379,1324
"......0138 Richterswil",3520,3869,3572
"......0139 Rüschlikon",1421,1408,1387
"......0140 Schönenberg (ZH)",461,524,552
"......0141 Thalwil",6058,5944,5417
"......0142 Wädenswil",6985,7018,6264
"......0151 Erlenbach (ZH)",1361,1325,1344
"......0152 Herrliberg",1119,1236,1460
"......0153 Hombrechtikon",1763,2098,2092
"......0154 Küsnacht (ZH)",3626,3632,3325
"......0155 Männedorf",2368,2149,2136
"......0156 Meilen",3018,3216,3041
"......0157 Oetwil am See",1043,1237,1213
"......0158 Stäfa",3574,3346,3145
"......0159 Uetikon am See",1047,1079,1413
"......0160 Zumikon",1253,1272,1198
"......0161 Zollikon",3410,3225,3161
"......0171 Bauma",764,964,938
"......0172 Fehraltorf",763,1314,1380
"......0173 Hittnau",249,414,609
"......0174 Illnau-Effretikon",4907,4787,4110
"......0175 Kyburg",53,45,70
"......0176 Lindau",985,961,1029
"......0177 Pfäffikon",2461,2815,2617
"......0178 Russikon",582,882,831
"......0179 Sternenberg",38,49,47
"......0180 Weisslingen",359,502,562
"......0181 Wila",285,305,338
"......0182 Wildberg",54,119,121
"......0191 Dübendorf",8135,8085,7466
"......0192 Egg",1955,2069,2176
"......0193 Fällanden",1888,2086,1852
"......0194 Greifensee",1647,1694,1643
"......0195 Maur",1700,1871,2091
"......0196 Mönchaltorf",809,1031,760
"......0197 Schwerzenbach",1026,1388,1361
"......0198 Uster",9212,9418,9059
"......0199 Volketswil",3754,4642,4535
"......0200 Wangen-Brüttisellen",1412,1743,1953
"......0211 Altikon",27,52,77
"......0212 Bertschikon",93,165,172
"......0213 Brütten",185,285,353
"......0214 Dägerlen",22,73,104
"......0215 Dättlikon",55,86,98
"......0216 Dinhard",132,167,187
"......0217 Elgg",873,890,809
"......0218 Ellikon an der Thur",86,94,98
"......0219 Elsau",624,664,686
"......0220 Hagenbuch",67,137,246
"......0221 Hettlingen",195,287,445
"......0222 Hofstetten bei Elgg",18,37,47
"......0223 Neftenbach",507,843,982
"......0224 Pfungen",669,687,642
"......0225 Rickenbach (ZH)",426,444,484
"......0226 Schlatt (ZH)",58,68,75
"......0227 Seuzach",1217,1417,1732
"......0228 Turbenthal",832,1015,954
"......0229 Wiesendangen",608,715,944
"......0230 Winterthur",29042,28560,25769
"......0231 Zell (ZH)",1095,1001,1024
"......0241 Aesch bei Birmensdorf",174,261,258
"......0242 Birmensdorf (ZH)",1285,1570,1642
"......0243 Dietikon",11819,10892,8930
"......0244 Geroldswil",1513,1774,1651
"......0245 Oberengstringen",2344,2370,2177
"......0246 Oetwil an der Limmat",412,710,695
"......0247 Schlieren",5991,6502,5269
"......0248 Uitikon",681,889,966
"......0249 Unterengstringen",872,948,999
"......0250 Urdorf",3435,3309,3519
"......0251 Weiningen (ZH)",1150,1287,1213
"......0261 Zürich",144366,141190,120853
"......0301 Aarberg",386,424,494
"......0302 Bargen (BE)",24,45,73
"......0303 Grossaffoltern",154,174,248
"......0304 Kallnach",42,83,96
"......0305 Kappelen",55,71,67
"......0306 Lyss",1731,2198,2082
"......0307 Meikirch",211,273,314
"......0308 Niederried bei Kallnach",1,11,18
"......0309 Radelfingen",39,72,85
"......0310 Rapperswil (BE)",106,144,140
"......0311 Schüpfen",164,278,343
"......0312 Seedorf (BE)",104,173,212
"......0321 Aarwangen",530,544,542
"......0322 Auswil",16,32,36
"......0323 Bannwil",44,71,78
"......0324 Bleienbach",29,46,73
"......0325 Busswil bei Melchnau",18,15,6
"......0326 Gondiswil",13,50,40
"......0327 Gutenburg",10,13,9
"......0328 Kleindietwil",24,23,44
"......0329 Langenthal",2651,2965,2610
"......0330 Leimiswil",8,14,13
"......0331 Lotzwil",254,324,285
"......0332 Madiswil",103,115,128
"......0333 Melchnau",139,194,219
"......0334 Obersteckholz",16,21,34
"......0335 Oeschenbach",1,7,12
"......0336 Reisiswil",6,16,10
"......0337 Roggwil (BE)",579,721,597
"......0338 Rohrbach",56,85,84
"......0339 Rohrbachgraben",1,11,11
"......0340 Rütschelen",14,30,33
"......0341 Schwarzhäusern",26,33,45
"......0342 Thunstetten",261,385,401
"......0343 Untersteckholz",2,4,11
"......0344 Ursenbach",22,36,43
"......0345 Wynau",226,281,240
"......0351 Bern",36531,36723,31510
"......0352 Bolligen",924,1088,971
"......0353 Bremgarten bei Bern",575,611,649
"......0354 Kirchlindach",249,380,414
"......0355 Köniz",6629,7773,7426
"......0356 Muri bei Bern",2058,2203,2065
"......0357 Oberbalm",13,24,36
"......0358 Stettlen",368,455,417
"......0359 Vechigen",334,401,476
"......0360 Wohlen bei Bern",1104,1348,1363
"......0361 Zollikofen",1881,2029,1892
"......0362 Ittigen",2039,2518,2279
"......0363 Ostermundigen",4139,4106,3578
"......0371 Biel (BE)",18496,17857,14241
"......0372 Evilard",463,527,532
"......0381 Arch",132,202,249
"......0382 Büetigen",45,64,66
"......0383 Büren an der Aare",380,442,419
"......0384 Busswil bei Büren",254,333,289
"......0385 Diessbach bei Büren",49,68,78
"......0386 Dotzigen",81,161,165
"......0387 Lengnau (BE)",829,867,732
"......0388 Leuzigen",117,122,139
"......0389 Meienried",6,2,3
"......0390 Meinisberg",109,124,137
"......0391 Oberwil bei Büren",27,34,35
"......0392 Pieterlen",659,703,602
"......0393 Rüti bei Büren",83,73,95
"......0394 Wengi",27,36,39
"......0401 Aefligen",77,93,94
"......0402 Alchenstorf",9,10,21
"......0403 Bäriswil",61,108,107
"......0404 Burgdorf",2226,2227,1993
"......0405 Ersigen",70,92,102
"......0406 Hasle bei Burgdorf",101,136,118
"......0407 Heimiswil",37,56,51
"......0408 Hellsau",6,18,10
"......0409 Hindelbank",165,203,208
"......0410 Höchstetten",2,10,12
"......0411 Kernenried",8,28,28
"......0412 Kirchberg (BE)",518,602,680
"......0413 Koppigen",155,180,184
"......0414 Krauchthal",126,171,210
"......0415 Lyssach",95,148,141
"......0416 Mötschwil",3,7,5
"......0417 Niederösch",6,13,10
"......0418 Oberburg",265,244,219
"......0419 Oberösch",2,5,6
"......0420 Rüdtligen-Alchenflüh",254,305,305
"......0421 Rumendingen",8,9,8
"......0422 Rüti bei Lyssach",9,6,12
"......0423 Willadingen",2,10,9
"......0424 Wynigen",35,67,87
"......0431 Corgémont",352,368,340
"......0432 Cormoret",106,103,95
"......0433 Cortébert",185,194,186
"......0434 Courtelary",352,307,269
"......0435 La Ferrière",52,81,84
"......0436 La Heutte",100,123,127
"......0437 Mont-Tramelan",0,2,8
"......0438 Orvin",138,176,165
"......0439 Péry",410,416,318
"......0440 Plagne",29,38,55
"......0441 Renan (BE)",196,193,158
"......0442 Romont (BE)",37,35,35
"......0443 Saint-Imier",2148,1823,1642
"......0444 Sonceboz-Sombeval",357,457,547
"......0445 Sonvilier",276,288,247
"......0446 Tramelan",1146,1028,913
"......0447 Vauffelin",54,54,81
"......0448 Villeret",184,223,160
"......0491 Brüttelen",12,47,56
"......0492 Erlach",162,199,166
"......0493 Finsterhennen",30,34,46
"......0494 Gals",43,101,106
"......0495 Gampelen",91,113,103
"......0496 Ins",310,328,344
"......0497 Lüscherz",23,40,62
"......0498 Müntschemier",108,156,221
"......0499 Siselen",13,49,47
"......0500 Treiten",3,24,13
"......0501 Tschugg",67,85,65
"......0502 Vinelz",28,45,88
"......0531 Ballmoos",2,2,6
"......0532 Bangerten",3,5,8
"......0533 Bätterkinden",257,344,326
"......0534 Büren zum Hof",24,26,44
"......0535 Deisswil bei Münchenbuchsee",3,1,3
"......0536 Diemerswil",2,9,5
"......0537 Etzelkofen",11,12,28
"......0538 Fraubrunnen",106,171,204
"......0539 Grafenried",41,65,86
"......0540 Jegenstorf",496,556,537
"......0541 Iffwil",9,16,31
"......0542 Limpach",2,13,11
"......0543 Mattstetten",70,119,91
"......0544 Moosseedorf",443,607,606
"......0545 Mülchi",9,6,13
"......0546 Münchenbuchsee",1450,1581,1647
"......0547 Münchringen",54,64,63
"......0548 Ruppoldsried",16,7,17
"......0549 Schalunen",31,48,47
"......0550 Scheunen",1,0,1
"......0551 Urtenen",559,859,845
"......0552 Utzenstorf",257,338,397
"......0553 Wiggiswil",5,15,14
"......0554 Wiler bei Utzenstorf",61,83,63
"......0555 Zauggenried",17,12,11
"......0556 Zielebach",18,37,31
"......0557 Zuzwil (BE)",37,38,42
"......0561 Adelboden",177,181,221
"......0562 Aeschi bei Spiez",86,127,150
"......0563 Frutigen",268,339,397
"......0564 Kandergrund",37,43,80
"......0565 Kandersteg",128,160,154
"......0566 Krattigen",38,59,76
"......0567 Reichenbach im Kandertal",69,98,129
"......0571 Beatenberg",105,126,118
"......0572 Bönigen",173,202,253
"......0573 Brienz (BE)",262,371,425
"......0574 Brienzwiler",26,41,41
"......0575 Därligen",11,21,38
"......0576 Grindelwald",381,472,690
"......0577 Gsteigwiler",14,34,40
"......0578 Gündlischwand",31,36,25
"......0579 Habkern",5,7,17
"......0580 Hofstetten bei Brienz",18,54,65
"......0581 Interlaken",904,1093,1139
"......0582 Iseltwald",34,27,38
"......0584 Lauterbrunnen",368,532,513
"......0585 Leissigen",58,87,82
"......0586 Lütschental",3,16,14
"......0587 Matten bei Interlaken",474,581,565
"......0588 Niederried bei Interlaken",25,42,36
"......0589 Oberried am Brienzersee",49,59,51
"......0590 Ringgenberg (BE)",200,295,289
"......0591 Saxeten",4,4,4
"......0592 Schwanden bei Brienz",35,62,70
"......0593 Unterseen",633,789,831
"......0594 Wilderswil",147,182,267
"......0601 Aeschlen",1,5,6
"......0602 Arni (BE)",9,34,42
"......0603 Biglen",114,155,159
"......0604 Bleiken bei Oberdiessbach",6,8,9
"......0605 Bowil",17,32,41
"......0606 Brenzikofen",7,23,17
"......0607 Freimettigen",21,13,24
"......0608 Grosshöchstetten",302,320,402
"......0609 Häutligen",6,4,6
"......0610 Herbligen",5,20,24
"......0611 Kiesen",51,72,85
"......0612 Konolfingen",386,469,458
"......0613 Landiswil",1,8,10
"......0614 Linden",16,13,40
"......0615 Mirchel",15,15,19
"......0616 Münsingen",1239,1306,1472
"......0617 Niederhünigen",12,15,27
"......0618 Niederwichtrach",55,105,108
"......0619 Oberdiessbach",132,197,176
"......0620 Oberthal",11,14,25
"......0621 Oberwichtrach",187,249,238
"......0622 Oppligen",25,40,33
"......0623 Rubigen",194,239,330
"......0624 Schlosswil",21,32,40
"......0625 Tägertschi",11,21,24
"......0626 Walkringen",43,62,109
"......0627 Worb",1711,1769,1543
"......0628 Zäziwil",52,91,116
"......0629 Oberhünigen",0,9,16
"......0630 Allmendingen",43,76,51
"......0631 Trimstein",14,27,27
"......0661 Clavaleyres",2,4,1
"......0662 Ferenbalm",69,107,146
"......0663 Frauenkappelen",64,123,146
"......0664 Golaten",3,6,11
"......0665 Gurbrü",0,7,17
"......0666 Kriechenwil",16,29,32
"......0667 Laupen",443,499,510
"......0668 Mühleberg",187,237,242
"......0669 Münchenwiler",23,36,69
"......0670 Neuenegg",401,548,575
"......0671 Wileroltigen",16,20,36
"......0681 Belprahon",96,122,130
"......0682 Bévilard",506,527,484
"......0683 Champoz",0,4,8
"......0684 Châtelat",11,8,4
"......0687 Corcelles (BE)",34,37,47
"......0690 Court",265,259,273
"......0691 Crémines",163,171,161
"......0692 Eschert",75,102,118
"......0694 Grandval",87,72,96
"......0696 Loveresse",27,51,57
"......0697 Malleray",671,688,588
"......0699 Monible",2,5,3
"......0700 Moutier",4103,4015,3684
"......0701 Perrefitte",160,194,143
"......0702 Pontenet",48,36,38
"......0703 Reconvilier",761,727,687
"......0704 Roches (BE)",77,80,71
"......0706 Saicourt",293,192,132
"......0707 Saules (BE)",11,9,10
"......0708 Schelten",19,23,16
"......0709 Seehof",8,7,5
"......0710 Sornetan",14,13,19
"......0711 Sorvilier",33,35,46
"......0712 Souboz",14,10,15
"......0713 Tavannes",1094,1091,1124
"......0715 Rebévelier",6,8,6
"......0721 Diesse",15,33,58
"......0722 Lamboing",56,97,121
"......0723 La Neuveville",1083,995,947
"......0724 Nods",24,58,77
"......0725 Prêles",101,127,159
"......0731 Aegerten",277,323,254
"......0732 Bellmund",143,197,207
"......0733 Brügg",843,974,768
"......0734 Bühl",17,34,35
"......0735 Epsach",14,13,7
"......0736 Hagneck",29,39,36
"......0737 Hermrigen",20,24,17
"......0738 Jens",37,58,55
"......0739 Ipsach",597,654,653
"......0740 Ligerz",40,37,55
"......0741 Merzligen",20,48,33
"......0742 Mörigen",98,116,109
"......0743 Nidau",2024,1764,1503
"......0744 Orpund",407,459,363
"......0745 Port",468,503,475
"......0746 Safnern",192,199,238
"......0747 Scheuren",12,29,37
"......0748 Schwadernau",35,71,86
"......0749 Studen",364,421,366
"......0750 Sutz-Lattrigen",122,127,179
