"Population résidante au domicile économique selon les niveaux géographiques institutionnels, le sexe, la profession exercée et la nationalité, 1970-2000"

"Canton (-) / District (>>) / Commune (......)","1980","1990","2000"
"......0001 Aeugst am Albis",78,56,38
"......0002 Affoltern am Albis",115,115,79
"......0003 Bonstetten",67,46,39
"......0004 Hausen am Albis",156,134,77
"......0005 Hedingen",72,51,22
"......0006 Kappel am Albis",103,77,45
"......0007 Knonau",82,58,41
"......0008 Maschwanden",64,58,27
"......0009 Mettmenstetten",142,140,116
"......0010 Obfelden",76,63,40
"......0011 Ottenbach",53,46,31
"......0012 Rifferswil",63,54,36
"......0013 Stallikon",83,66,41
"......0014 Wettswil am Albis",24,15,23
"......0021 Adlikon",71,58,41
"......0022 Benken (ZH)",56,51,34
"......0023 Berg am Irchel",67,39,23
"......0024 Buch am Irchel",89,70,40
"......0025 Dachsen",32,23,15
"......0026 Dorf",38,31,24
"......0027 Feuerthalen",14,27,15
"......0028 Flaach",95,69,39
"......0029 Flurlingen",7,7,8
"......0030 Andelfingen",51,47,33
"......0031 Henggart",40,29,25
"......0032 Humlikon",24,26,16
"......0033 Kleinandelfingen",97,77,58
"......0034 Laufen-Uhwiesen",60,42,26
"......0035 Marthalen",115,102,59
"......0036 Oberstammheim",138,81,52
"......0037 Ossingen",135,95,59
"......0038 Rheinau",44,24,11
"......0039 Thalheim an der Thur",84,48,41
"......0040 Trüllikon",101,69,48
"......0041 Truttikon",47,36,25
"......0042 Unterstammheim",97,67,47
"......0043 Volken",55,40,22
"......0044 Waltalingen",87,76,43
"......0051 Bachenbülach",26,23,12
"......0052 Bassersdorf",102,80,48
"......0053 Bülach",127,102,92
"......0054 Dietlikon",51,34,25
"......0055 Eglisau",89,54,33
"......0056 Embrach",96,82,75
"......0057 Freienstein-Teufen",76,56,54
"......0058 Glattfelden",83,72,47
"......0059 Hochfelden",42,31,27
"......0060 Höri",47,31,29
"......0061 Hüntwangen",29,25,13
"......0062 Kloten",125,94,75
"......0063 Lufingen",35,33,26
"......0064 Nürensdorf",83,68,51
"......0065 Oberembrach",95,79,51
"......0066 Opfikon",69,63,59
"......0067 Rafz",151,135,85
"......0068 Rorbas",32,29,31
"......0069 Wallisellen",79,69,52
"......0070 Wasterkingen",26,21,13
"......0071 Wil (ZH)",82,47,35
"......0072 Winkel",93,65,53
"......0081 Bachs",82,48,48
"......0082 Boppelsen",41,34,23
"......0083 Buchs (ZH)",60,49,39
"......0084 Dällikon",44,48,39
"......0085 Dänikon",40,29,21
"......0086 Dielsdorf",61,67,36
"......0087 Hüttikon",31,19,12
"......0088 Neerach",64,46,28
"......0089 Niederglatt",42,42,25
"......0090 Niederhasli",129,99,76
"......0091 Niederweningen",64,46,33
"......0092 Oberglatt",65,50,44
"......0093 Oberweningen",27,26,22
"......0094 Otelfingen",40,43,25
"......0095 Regensberg",17,16,12
"......0096 Regensdorf",138,128,100
"......0097 Rümlang",146,97,70
"......0098 Schleinikon",51,33,19
"......0099 Schöfflisdorf",28,21,12
"......0100 Stadel",115,92,57
