"Population résidante au domicile économique selon les niveaux géographiques institutionnels, le sexe, la plus haute formation achevée et la nationalité, 1990-2000"

"Canton (-) / District (>>) / Commune (......)","1990","2000"
"......0001 Aeugst am Albis",29,40
"......0002 Affoltern am Albis",149,339
"......0003 Bonstetten",81,148
"......0004 Hausen am Albis",50,74
"......0005 Hedingen",18,73
"......0006 Kappel am Albis",12,14
"......0007 Knonau",4,21
"......0008 Maschwanden",3,10
"......0009 Mettmenstetten",31,63
"......0010 Obfelden",46,72
"......0011 Ottenbach",25,37
"......0012 Rifferswil",4,12
"......0013 Stallikon",65,127
"......0014 Wettswil am Albis",63,121
"......0021 Adlikon",3,4
"......0022 Benken (ZH)",5,6
"......0023 Berg am Irchel",3,6
"......0024 Buch am Irchel",4,7
"......0025 Dachsen",14,33
"......0026 Dorf",4,14
"......0027 Feuerthalen",35,55
"......0028 Flaach",11,17
"......0029 Flurlingen",11,22
"......0030 Andelfingen",12,36
"......0031 Henggart",16,27
"......0032 Humlikon",7,12
"......0033 Kleinandelfingen",7,31
"......0034 Laufen-Uhwiesen",14,25
"......0035 Marthalen",9,28
"......0036 Oberstammheim",3,14
"......0037 Ossingen",7,20
"......0038 Rheinau",40,89
"......0039 Thalheim an der Thur",0,7
"......0040 Trüllikon",5,14
"......0041 Truttikon",3,9
"......0042 Unterstammheim",3,7
"......0043 Volken",3,4
"......0044 Waltalingen",2,5
"......0051 Bachenbülach",58,114
"......0052 Bassersdorf",124,219
"......0053 Bülach",207,407
"......0054 Dietlikon",110,214
"......0055 Eglisau",36,75
"......0056 Embrach",124,258
"......0057 Freienstein-Teufen",20,30
"......0058 Glattfelden",44,84
"......0059 Hochfelden",17,28
"......0060 Höri",23,65
"......0061 Hüntwangen",7,8
"......0062 Kloten",333,761
"......0063 Lufingen",24,51
"......0064 Nürensdorf",78,113
"......0065 Oberembrach",13,14
"......0066 Opfikon",323,679
"......0067 Rafz",29,91
"......0068 Rorbas",38,50
"......0069 Wallisellen",255,519
"......0070 Wasterkingen",1,5
"......0071 Wil (ZH)",10,18
"......0072 Winkel",68,126
"......0081 Bachs",2,17
"......0082 Boppelsen",18,28
"......0083 Buchs (ZH)",79,100
"......0084 Dällikon",50,104
"......0085 Dänikon",16,47
"......0086 Dielsdorf",96,167
"......0087 Hüttikon",5,11
"......0088 Neerach",27,64
"......0089 Niederglatt",46,88
"......0090 Niederhasli",83,190
"......0091 Niederweningen",22,64
"......0092 Oberglatt",75,203
"......0093 Oberweningen",23,30
"......0094 Otelfingen",22,47
"......0095 Regensberg",12,20
"......0096 Regensdorf",318,552
"......0097 Rümlang",110,202
"......0098 Schleinikon",5,7
"......0099 Schöfflisdorf",18,30
"......0100 Stadel",14,26
"......0101 Steinmaur",43,73
"......0102 Weiach",8,11
"......0111 Bäretswil",41,83
"......0112 Bubikon",58,94
"......0113 Dürnten",68,125
"......0114 Fischenthal",17,26
"......0115 Gossau (ZH)",78,154
"......0116 Grüningen",33,71
"......0117 Hinwil",80,176
"......0118 Rüti (ZH)",157,270
"......0119 Seegräben",14,36
"......0120 Wald (ZH)",90,190
"......0121 Wetzikon (ZH)",267,461
"......0131 Adliswil",365,816
"......0132 Hirzel",38,40
"......0133 Horgen",358,737
"......0134 Hütten",3,10
"......0135 Kilchberg (ZH)",266,495
"......0136 Langnau am Albis",149,253
"......0137 Oberrieden",117,187
"......0138 Richterswil",282,408
"......0139 Rüschlikon",174,344
"......0140 Schönenberg (ZH)",15,34
"......0141 Thalwil",467,872
"......0142 Wädenswil",488,777
"......0151 Erlenbach (ZH)",132,247
"......0152 Herrliberg",137,307
"......0153 Hombrechtikon",110,206
"......0154 Küsnacht (ZH)",480,765
"......0155 Männedorf",156,397
"......0156 Meilen",285,559
"......0157 Oetwil am See",65,190
"......0158 Stäfa",181,362
"......0159 Uetikon am See",57,217
"......0160 Zumikon",165,258
"......0161 Zollikon",474,738
"......0171 Bauma",29,58
"......0172 Fehraltorf",63,113
"......0173 Hittnau",15,43
"......0174 Illnau-Effretikon",260,438
"......0175 Kyburg",0,5
"......0176 Lindau",39,77
"......0177 Pfäffikon",119,217
"......0178 Russikon",48,70
"......0179 Sternenberg",3,3
"......0180 Weisslingen",26,42
"......0181 Wila",15,29
"......0182 Wildberg",5,17
"......0191 Dübendorf",576,1004
"......0192 Egg",136,319
"......0193 Fällanden",257,321
"......0194 Greifensee",139,228
"......0195 Maur",261,544
"......0196 Mönchaltorf",52,57
"......0197 Schwerzenbach",90,159
"......0198 Uster",465,909
"......0199 Volketswil",251,444
"......0200 Wangen-Brüttisellen",82,223
"......0211 Altikon",0,3
"......0212 Bertschikon",9,16
"......0213 Brütten",33,44
"......0214 Dägerlen",9,12
"......0215 Dättlikon",3,3
"......0216 Dinhard",7,19
"......0217 Elgg",38,77
"......0218 Ellikon an der Thur",4,13
"......0219 Elsau",25,22
"......0220 Hagenbuch",4,21
"......0221 Hettlingen",21,47
"......0222 Hofstetten bei Elgg",2,10
"......0223 Neftenbach",48,84
"......0224 Pfungen",23,75
"......0225 Rickenbach (ZH)",26,47
"......0226 Schlatt (ZH)",4,6
"......0227 Seuzach",87,151
"......0228 Turbenthal",38,68
"......0229 Wiesendangen",44,78
"......0230 Winterthur",1590,3109
"......0231 Zell (ZH)",36,87
"......0241 Aesch bei Birmensdorf",25,24
"......0242 Birmensdorf (ZH)",106,244
"......0243 Dietikon",368,792
"......0244 Geroldswil",64,140
"......0245 Oberengstringen",140,221
"......0246 Oetwil an der Limmat",50,68
"......0247 Schlieren",297,581
"......0248 Uitikon",110,148
"......0249 Unterengstringen",67,98
"......0250 Urdorf",150,343
"......0251 Weiningen (ZH)",67,111
"......0261 Zürich",12418,24585
"......0301 Aarberg",25,52
"......0302 Bargen (BE)",3,6
"......0303 Grossaffoltern",7,28
"......0304 Kallnach",1,5
"......0305 Kappelen",2,12
"......0306 Lyss",101,163
"......0307 Meikirch",14,45
"......0308 Niederried bei Kallnach",2,5
"......0309 Radelfingen",9,8
"......0310 Rapperswil (BE)",8,18
"......0311 Schüpfen",14,32
"......0312 Seedorf (BE)",22,26
"......0321 Aarwangen",14,61
"......0322 Auswil",2,5
"......0323 Bannwil",6,4
"......0324 Bleienbach",1,14
"......0325 Busswil bei Melchnau",0,0
"......0326 Gondiswil",2,3
"......0327 Gutenburg",0,2
"......0328 Kleindietwil",1,2
"......0329 Langenthal",164,306
"......0330 Leimiswil",1,5
"......0331 Lotzwil",12,42
"......0332 Madiswil",6,21
"......0333 Melchnau",4,27
"......0334 Obersteckholz",0,2
"......0335 Oeschenbach",0,0
"......0336 Reisiswil",0,3
"......0337 Roggwil (BE)",34,36
"......0338 Rohrbach",4,7
"......0339 Rohrbachgraben",3,0
"......0340 Rütschelen",4,1
"......0341 Schwarzhäusern",3,2
"......0342 Thunstetten",14,39
"......0343 Untersteckholz",0,3
"......0344 Ursenbach",4,4
"......0345 Wynau",13,22
"......0351 Bern",3150,5350
"......0352 Bolligen",91,102
"......0353 Bremgarten bei Bern",51,78
"......0354 Kirchlindach",46,52
"......0355 Köniz",603,940
"......0356 Muri bei Bern",194,320
"......0357 Oberbalm",3,4
"......0358 Stettlen",40,48
"......0359 Vechigen",32,79
"......0360 Wohlen bei Bern",130,193
"......0361 Zollikofen",100,206
"......0362 Ittigen",158,291
"......0363 Ostermundigen",215,394
"......0371 Biel (BE)",953,1619
"......0372 Evilard",47,84
"......0381 Arch",3,12
"......0382 Büetigen",3,11
"......0383 Büren an der Aare",27,38
"......0384 Busswil bei Büren",19,33
"......0385 Diessbach bei Büren",0,1
"......0386 Dotzigen",9,11
"......0387 Lengnau (BE)",40,62
"......0388 Leuzigen",0,4
"......0389 Meienried",0,0
"......0390 Meinisberg",16,19
"......0391 Oberwil bei Büren",1,3
"......0392 Pieterlen",34,48
"......0393 Rüti bei Büren",1,11
"......0394 Wengi",2,5
"......0401 Aefligen",4,6
"......0402 Alchenstorf",1,3
"......0403 Bäriswil",5,9
"......0404 Burgdorf",149,291
"......0405 Ersigen",4,14
"......0406 Hasle bei Burgdorf",15,19
"......0407 Heimiswil",3,7
"......0408 Hellsau",2,1
"......0409 Hindelbank",16,33
"......0410 Höchstetten",1,0
"......0411 Kernenried",0,1
"......0412 Kirchberg (BE)",25,59
"......0413 Koppigen",8,17
"......0414 Krauchthal",12,39
"......0415 Lyssach",12,8
"......0416 Mötschwil",0,0
"......0417 Niederösch",0,0
"......0418 Oberburg",18,30
"......0419 Oberösch",0,2
"......0420 Rüdtligen-Alchenflüh",13,29
"......0421 Rumendingen",0,0
"......0422 Rüti bei Lyssach",0,1
"......0423 Willadingen",0,1
"......0424 Wynigen",2,6
"......0431 Corgémont",18,24
"......0432 Cormoret",5,5
"......0433 Cortébert",6,13
"......0434 Courtelary",10,13
"......0435 La Ferrière",5,10
"......0436 La Heutte",4,9
"......0437 Mont-Tramelan",0,2
"......0438 Orvin",12,26
"......0439 Péry",10,16
"......0440 Plagne",2,3
"......0441 Renan (BE)",12,22
"......0442 Romont (BE)",0,1
"......0443 Saint-Imier",76,150
"......0444 Sonceboz-Sombeval",9,37
"......0445 Sonvilier",9,13
"......0446 Tramelan",36,56
"......0447 Vauffelin",1,6
"......0448 Villeret",15,29
"......0491 Brüttelen",6,6
"......0492 Erlach",18,21
"......0493 Finsterhennen",4,9
"......0494 Gals",13,22
"......0495 Gampelen",7,11
"......0496 Ins",21,57
"......0497 Lüscherz",1,7
"......0498 Müntschemier",4,13
"......0499 Siselen",7,6
"......0500 Treiten",1,1
"......0501 Tschugg",14,14
"......0502 Vinelz",6,11
"......0531 Ballmoos",0,0
"......0532 Bangerten",0,1
"......0533 Bätterkinden",16,19
"......0534 Büren zum Hof",6,5
"......0535 Deisswil bei Münchenbuchsee",0,0
"......0536 Diemerswil",0,1
"......0537 Etzelkofen",0,0
"......0538 Fraubrunnen",14,15
"......0539 Grafenried",2,5
"......0540 Jegenstorf",24,34
"......0541 Iffwil",2,2
"......0542 Limpach",2,2
"......0543 Mattstetten",4,5
"......0544 Moosseedorf",38,54
"......0545 Mülchi",2,1
"......0546 Münchenbuchsee",70,189
"......0547 Münchringen",1,0
"......0548 Ruppoldsried",1,1
"......0549 Schalunen",2,3
"......0550 Scheunen",0,0
"......0551 Urtenen",75,110
"......0552 Utzenstorf",16,36
"......0553 Wiggiswil",0,4
"......0554 Wiler bei Utzenstorf",2,3
"......0555 Zauggenried",1,0
"......0556 Zielebach",3,6
"......0557 Zuzwil (BE)",7,8
"......0561 Adelboden",14,33
"......0562 Aeschi bei Spiez",13,28
"......0563 Frutigen",31,63
"......0564 Kandergrund",4,17
"......0565 Kandersteg",13,40
"......0566 Krattigen",5,16
"......0567 Reichenbach im Kandertal",13,21
"......0571 Beatenberg",25,51
"......0572 Bönigen",7,17
"......0573 Brienz (BE)",16,41
"......0574 Brienzwiler",3,7
"......0575 Därligen",1,4
"......0576 Grindelwald",14,83
"......0577 Gsteigwiler",0,6
"......0578 Gündlischwand",0,1
"......0579 Habkern",1,9
"......0580 Hofstetten bei Brienz",6,6
"......0581 Interlaken",98,156
"......0582 Iseltwald",5,5
"......0584 Lauterbrunnen",32,71
"......0585 Leissigen",8,11
"......0586 Lütschental",2,1
"......0587 Matten bei Interlaken",10,67
"......0588 Niederried bei Interlaken",3,3
"......0589 Oberried am Brienzersee",6,12
"......0590 Ringgenberg (BE)",24,37
"......0591 Saxeten",0,0
"......0592 Schwanden bei Brienz",1,7
"......0593 Unterseen",60,96
"......0594 Wilderswil",16,25
"......0601 Aeschlen",0,3
"......0602 Arni (BE)",4,6
"......0603 Biglen",5,17
"......0604 Bleiken bei Oberdiessbach",0,1
"......0605 Bowil",3,7
"......0606 Brenzikofen",2,0
"......0607 Freimettigen",2,9
"......0608 Grosshöchstetten",40,39
"......0609 Häutligen",1,3
"......0610 Herbligen",2,1
"......0611 Kiesen",7,7
"......0612 Konolfingen",30,63
"......0613 Landiswil",1,0
"......0614 Linden",1,14
"......0615 Mirchel",1,2
"......0616 Münsingen",69,145
"......0617 Niederhünigen",1,5
"......0618 Niederwichtrach",6,10
"......0619 Oberdiessbach",16,34
"......0620 Oberthal",0,2
"......0621 Oberwichtrach",10,22
"......0622 Oppligen",6,8
"......0623 Rubigen",24,49
"......0624 Schlosswil",1,4
"......0625 Tägertschi",3,3
"......0626 Walkringen",10,5
"......0627 Worb",132,193
"......0628 Zäziwil",5,13
"......0629 Oberhünigen",1,3
"......0630 Allmendingen",12,11
"......0631 Trimstein",4,4
"......0661 Clavaleyres",0,0
"......0662 Ferenbalm",3,14
"......0663 Frauenkappelen",8,14
"......0664 Golaten",0,1
"......0665 Gurbrü",0,1
"......0666 Kriechenwil",2,4
"......0667 Laupen",19,20
"......0668 Mühleberg",7,21
"......0669 Münchenwiler",3,4
"......0670 Neuenegg",34,48
"......0671 Wileroltigen",1,2
"......0681 Belprahon",6,9
"......0682 Bévilard",17,32
"......0683 Champoz",0,0
"......0684 Châtelat",0,0
"......0687 Corcelles (BE)",0,0
"......0690 Court",7,17
"......0691 Crémines",0,5
"......0692 Eschert",2,2
"......0694 Grandval",3,2
"......0696 Loveresse",2,7
"......0697 Malleray",17,33
"......0699 Monible",0,0
"......0700 Moutier",111,205
"......0701 Perrefitte",2,9
"......0702 Pontenet",4,2
"......0703 Reconvilier",22,44
"......0704 Roches (BE)",3,4
"......0706 Saicourt",19,10
"......0707 Saules (BE)",0,1
"......0708 Schelten",1,0
"......0709 Seehof",0,0
"......0710 Sornetan",0,3
"......0711 Sorvilier",1,3
"......0712 Souboz",0,0
"......0713 Tavannes",39,67
"......0715 Rebévelier",0,0
"......0721 Diesse",1,5
"......0722 Lamboing",9,6
"......0723 La Neuveville",44,84
"......0724 Nods",6,7
"......0725 Prêles",6,8
"......0731 Aegerten",7,10
"......0732 Bellmund",9,22
"......0733 Brügg",53,72
"......0734 Bühl",0,2
"......0735 Epsach",0,1
"......0736 Hagneck",1,4
"......0737 Hermrigen",1,1
"......0738 Jens",2,1
"......0739 Ipsach",35,68
"......0740 Ligerz",3,11
"......0741 Merzligen",1,1
"......0742 Mörigen",7,11
"......0743 Nidau",95,187
"......0744 Orpund",29,36
"......0745 Port",25,48
"......0746 Safnern",12,17
"......0747 Scheuren",2,4
"......0748 Schwadernau",4,9
"......0749 Studen",28,42
"......0750 Sutz-Lattrigen",5,11
"......0751 Täuffelen",20,30
"......0752 Tüscherz-Alfermée",0,6
"......0753 Twann",6,17
"......0754 Walperswil",2,5
"......0755 Worben",16,23
"......0761 Därstetten",0,1
"......0762 Diemtigen",4,12
"......0763 Erlenbach im Simmental",8,13
"......0764 Niederstocken",0,3
"......0765 Oberstocken",0,1
"......0766 Oberwil im Simmental",1,1
"......0767 Reutigen",6,3
"......0768 Spiez",70,179
"......0769 Wimmis",11,14
"......0781 Gadmen",0,0
"......0782 Guttannen",0,1
"......0783 Hasliberg",29,37
"......0784 Innertkirchen",5,9
"......0785 Meiringen",25,91
"......0786 Schattenhalb",4,11
"......0791 Boltigen",3,6
"......0792 Lenk",7,23
"......0793 St. Stephan",3,6
"......0794 Zweisimmen",13,47
"......0841 Gsteig",8,16
"......0842 Lauenen",7,17
"......0843 Saanen",88,243
"......0851 Albligen",3,7
"......0852 Guggisberg",5,9
"......0853 Rüschegg",4,14
"......0854 Wahlern",37,49
"......0861 Belp",63,136
"......0862 Belpberg",0,1
"......0863 Burgistein",6,8
"......0864 Englisberg",2,4
"......0865 Gelterfingen",1,1
"......0866 Gerzensee",3,5
"......0867 Gurzelen",3,2
"......0868 Jaberg",0,1
"......0869 Kaufdorf",3,16
"......0870 Kehrsatz",54,87
"......0871 Kienersrüti",0,0
"......0872 Kirchdorf (BE)",0,2
"......0873 Kirchenthurnen",1,2
"......0874 Lohnstorf",0,1
"......0875 Mühledorf (BE)",0,2
"......0876 Mühlethurnen",9,15
"......0877 Niedermuhlern",0,0
"......0878 Noflen",0,1
"......0879 Riggisberg",20,33
"......0880 Rüeggisberg",7,13
"......0881 Rümligen",2,4
"......0882 Rüti bei Riggisberg",2,1
"......0883 Seftigen",6,25
"......0884 Toffen",21,24
"......0885 Uttigen",2,7
"......0886 Wattenwil",7,19
"......0887 Zimmerwald",2,2
"......0901 Eggiwil",4,5
"......0902 Langnau im Emmental",56,78
"......0903 Lauperswil",2,16
"......0904 Röthenbach im Emmental",2,1
"......0905 Rüderswil",4,9
"......0906 Schangnau",0,2
"......0907 Signau",10,20
"......0908 Trub",0,8
"......0909 Trubschachen",7,16
"......0921 Amsoldingen",2,6
"......0922 Blumenstein",5,6
"......0923 Buchholterberg",3,4
"......0924 Eriz",2,1
"......0925 Fahrni",0,7
"......0926 Forst",1,3
"......0927 Heiligenschwendi",15,21
"......0928 Heimberg",24,54
"......0929 Hilterfingen",45,57
"......0930 Höfen",0,0
"......0931 Homberg",0,5
"......0932 Horrenbach-Buchen",0,0
"......0933 Längenbühl",2,2
"......0934 Oberhofen am Thunersee",26,51
"......0935 Oberlangenegg",0,2
"......0936 Pohlern",1,0
"......0937 Schwendibach",1,0
"......0938 Sigriswil",37,87
"......0939 Steffisburg",97,159
"......0940 Teuffenthal (BE)",0,0
"......0941 Thierachern",11,12
"......0942 Thun",273,635
"......0943 Uebeschi",2,2
"......0944 Uetendorf",21,27
"......0945 Unterlangenegg",1,7
"......0946 Wachseldorn",0,0
"......0947 Zwieselberg",0,0
"......0951 Affoltern im Emmental",8,11
"......0952 Dürrenroth",2,0
"......0953 Eriswil",4,5
"......0954 Huttwil",27,33
"......0955 Lützelflüh",14,22
"......0956 Rüegsau",7,14
"......0957 Sumiswald",22,24
"......0958 Trachselwald",1,7
"......0959 Walterswil (BE)",0,0
"......0960 Wyssachen",1,2
"......0971 Attiswil",1,16
"......0972 Berken",0,0
"......0973 Bettenhausen",1,3
"......0974 Bollodingen",0,0
"......0975 Farnern",2,2
"......0976 Graben",1,1
"......0977 Heimenhausen",1,5
"......0978 Hermiswil",0,1
"......0979 Herzogenbuchsee",48,66
"......0980 Inkwil",3,6
"......0981 Niederbipp",28,72
"......0982 Niederönz",6,16
"......0983 Oberbipp",14,21
"......0984 Oberönz",8,13
"......0985 Ochlenberg",0,3
"......0986 Röthenbach bei Herzogenbuchsee",0,2
"......0987 Rumisberg",2,2
"......0988 Seeberg",2,6
"......0989 Thörigen",8,9
"......0990 Walliswil bei Niederbipp",0,1
"......0991 Walliswil bei Wangen",4,5
"......0992 Wangen an der Aare",5,25
"......0993 Wangenried",0,1
"......0994 Wanzwil",2,5
"......0995 Wiedlisbach",17,47
"......0996 Wolfisberg",1,6
"......1001 Doppleschwand",0,6
"......1002 Entlebuch",11,28
"......1003 Escholzmatt",12,30
"......1004 Flühli",4,23
"......1005 Hasle (LU)",1,7
"......1006 Marbach (LU)",2,5
"......1007 Romoos",2,1
"......1008 Schüpfheim",9,28
"......1009 Werthenstein",2,11
"......1021 Aesch (LU)",2,4
"......1022 Altwis",1,3
"......1023 Ballwil",8,13
