"Population résidante au domicile économique selon les niveaux géographiques institutionnels, le sexe, la plus haute formation achevée et la nationalité, 1990-2000"

"Canton (-) / District (>>) / Commune (......)","1990","2000"
"......0001 Aeugst am Albis",224,424
"......0002 Affoltern am Albis",989,1460
"......0003 Bonstetten",489,986
"......0004 Hausen am Albis",442,698
"......0005 Hedingen",302,646
"......0006 Kappel am Albis",95,155
"......0007 Knonau",152,310
"......0008 Maschwanden",59,98
"......0009 Mettmenstetten",431,788
"......0010 Obfelden",440,730
"......0011 Ottenbach",294,476
"......0012 Rifferswil",123,175
"......0013 Stallikon",389,686
"......0014 Wettswil am Albis",666,1005
"......0021 Adlikon",34,86
"......0022 Benken (ZH)",105,127
"......0023 Berg am Irchel",69,113
"......0024 Buch am Irchel",72,150
"......0025 Dachsen",146,291
"......0026 Dorf",56,118
"......0027 Feuerthalen",283,428
"......0028 Flaach",113,162
"......0029 Flurlingen",186,309
"......0030 Andelfingen",271,361
"......0031 Henggart",163,314
"......0032 Humlikon",47,87
"......0033 Kleinandelfingen",178,304
"......0034 Laufen-Uhwiesen",217,323
"......0035 Marthalen",193,296
"......0036 Oberstammheim",129,176
"......0037 Ossingen",144,220
"......0038 Rheinau",99,176
"......0039 Thalheim an der Thur",47,105
"......0040 Trüllikon",104,153
"......0041 Truttikon",38,65
"......0042 Unterstammheim",116,170
"......0043 Volken",18,37
"......0044 Waltalingen",62,97
"......0051 Bachenbülach",267,451
"......0052 Bassersdorf",950,1379
"......0053 Bülach",1609,2366
"......0054 Dietlikon",823,1181
"......0055 Eglisau",383,544
"......0056 Embrach",661,971
"......0057 Freienstein-Teufen",219,378
"......0058 Glattfelden",302,472
"......0059 Hochfelden",121,253
"......0060 Höri",88,186
"......0061 Hüntwangen",79,142
"......0062 Kloten",1746,2505
"......0063 Lufingen",167,242
"......0064 Nürensdorf",707,1045
"......0065 Oberembrach",162,199
"......0066 Opfikon",1231,1573
"......0067 Rafz",238,494
"......0068 Rorbas",219,315
"......0069 Wallisellen",1770,2385
"......0070 Wasterkingen",64,106
"......0071 Wil (ZH)",153,212
"......0072 Winkel",446,836
"......0081 Bachs",55,87
"......0082 Boppelsen",145,241
"......0083 Buchs (ZH)",378,650
"......0084 Dällikon",232,448
"......0085 Dänikon",128,276
"......0086 Dielsdorf",529,674
"......0087 Hüttikon",42,81
"......0088 Neerach",295,587
"......0089 Niederglatt",334,586
"......0090 Niederhasli",653,1105
"......0091 Niederweningen",211,442
"......0092 Oberglatt",337,614
"......0093 Oberweningen",146,222
"......0094 Otelfingen",210,364
"......0095 Regensberg",121,138
"......0096 Regensdorf",1274,2028
"......0097 Rümlang",485,676
"......0098 Schleinikon",71,132
"......0099 Schöfflisdorf",159,228
"......0100 Stadel",193,306
"......0101 Steinmaur",338,489
"......0102 Weiach",59,123
"......0111 Bäretswil",479,762
"......0112 Bubikon",589,1067
"......0113 Dürnten",643,975
"......0114 Fischenthal",136,204
"......0115 Gossau (ZH)",1050,1693
"......0116 Grüningen",357,559
"......0117 Hinwil",1013,1518
"......0118 Rüti (ZH)",995,1503
"......0119 Seegräben",216,296
"......0120 Wald (ZH)",658,990
"......0121 Wetzikon (ZH)",1782,2705
"......0131 Adliswil",1982,2661
"......0132 Hirzel",257,372
"......0133 Horgen",1979,3074
"......0134 Hütten",78,110
"......0135 Kilchberg (ZH)",1607,2247
"......0136 Langnau am Albis",962,1319
"......0137 Oberrieden",871,1262
"......0138 Richterswil",1343,2053
"......0139 Rüschlikon",1025,1446
"......0140 Schönenberg (ZH)",222,341
"......0141 Thalwil",2569,3746
"......0142 Wädenswil",2560,3824
"......0151 Erlenbach (ZH)",1006,1427
"......0152 Herrliberg",1122,1900
"......0153 Hombrechtikon",973,1276
"......0154 Küsnacht (ZH)",2935,3983
"......0155 Männedorf",1328,2095
"......0156 Meilen",2242,3336
"......0157 Oetwil am See",397,611
"......0158 Stäfa",1884,2891
"......0159 Uetikon am See",606,1197
"......0160 Zumikon",1162,1617
"......0161 Zollikon",2999,3912
