"Ménages privés selon la taille du ménage et la région, 1970-2000"

"Canton (-) / District (>>) / Commune (......)","1980","1990","2000"
"......0001 Aeugst am Albis",46,99,167
"......0002 Affoltern am Albis",707,1071,1338
"......0003 Bonstetten",133,227,414
"......0004 Hausen am Albis",155,229,297
"......0005 Hedingen",133,190,279
"......0006 Kappel am Albis",21,36,87
"......0007 Knonau",75,84,132
"......0008 Maschwanden",25,48,63
"......0009 Mettmenstetten",114,233,373
"......0010 Obfelden",192,280,419
"......0011 Ottenbach",80,123,207
"......0012 Rifferswil",28,34,77
"......0013 Stallikon",64,127,275
"......0014 Wettswil am Albis",146,257,394
"......0021 Adlikon",11,25,39
"......0022 Benken (ZH)",36,56,91
"......0023 Berg am Irchel",24,29,52
"......0024 Buch am Irchel",20,26,49
"......0025 Dachsen",49,94,125
"......0026 Dorf",10,23,43
"......0027 Feuerthalen",311,436,465
"......0028 Flaach",54,57,95
"......0029 Flurlingen",87,114,132
"......0030 Andelfingen",101,123,179
"......0031 Henggart",37,87,169
"......0032 Humlikon",12,15,26
"......0033 Kleinandelfingen",81,105,172
"......0034 Laufen-Uhwiesen",71,129,154
"......0035 Marthalen",101,153,197
"......0036 Oberstammheim",44,78,100
"......0037 Ossingen",46,89,137
"......0038 Rheinau",213,224,193
"......0039 Thalheim an der Thur",26,36,68
"......0040 Trüllikon",46,93,98
"......0041 Truttikon",13,24,35
"......0042 Unterstammheim",44,69,78
"......0043 Volken",9,17,25
"......0044 Waltalingen",26,39,53
"......0051 Bachenbülach",182,243,369
"......0052 Bassersdorf",516,784,979
"......0053 Bülach",1019,1482,2006
"......0054 Dietlikon",458,695,983
"......0055 Eglisau",151,228,324
"......0056 Embrach",469,720,910
"......0057 Freienstein-Teufen",102,130,189
"......0058 Glattfelden",157,261,405
"......0059 Hochfelden",64,106,150
"......0060 Höri",99,139,248
"......0061 Hüntwangen",36,46,82
"......0062 Kloten",2405,3821,3335
"......0063 Lufingen",35,76,138
"......0064 Nürensdorf",172,291,479
"......0065 Oberembrach",13,56,109
"......0066 Opfikon",1788,2425,2549
"......0067 Rafz",175,210,304
"......0068 Rorbas",94,226,293
"......0069 Wallisellen",1314,1754,1959
"......0070 Wasterkingen",12,19,40
"......0071 Wil (ZH)",60,64,125
"......0072 Winkel",128,221,419
"......0081 Bachs",15,23,53
"......0082 Boppelsen",24,63,95
"......0083 Buchs (ZH)",117,326,516
"......0084 Dällikon",183,275,474
"......0085 Dänikon",71,91,164
"......0086 Dielsdorf",314,469,652
"......0087 Hüttikon",13,23,49
"......0088 Neerach",72,127,238
"......0089 Niederglatt",204,349,494
"......0090 Niederhasli",304,479,801
"......0091 Niederweningen",99,150,211
"......0092 Oberglatt",479,645,879
"......0093 Oberweningen",34,83,128
"......0094 Otelfingen",84,122,182
"......0095 Regensberg",60,82,78
"......0096 Regensdorf",1008,1496,2094
"......0097 Rümlang",490,676,957
"......0098 Schleinikon",19,44,58
"......0099 Schöfflisdorf",43,76,118
"......0100 Stadel",61,108,183
"......0101 Steinmaur",134,210,369
"......0102 Weiach",39,44,102
"......0111 Bäretswil",235,299,408
"......0112 Bubikon",200,334,531
"......0113 Dürnten",430,552,747
"......0114 Fischenthal",112,148,201
"......0115 Gossau (ZH)",324,553,841
"......0116 Grüningen",163,219,321
"......0117 Hinwil",574,791,1128
"......0118 Rüti (ZH)",956,1282,1557
"......0119 Seegräben",57,74,132
"......0120 Wald (ZH)",725,924,1072
