"Population résidante selon le type de domicile, les niveaux géographiques institutionnels, la langue principale et la nationalité, 2000"

"Canton (-) / District (>>) / Commune (......)","Allemand","Français","Italien","Romanche"
"......0001 Aeugst am Albis",1459,13,9,1
"......0002 Affoltern am Albis",8428,78,512,14
"......0003 Bonstetten",3549,33,72,9
"......0004 Hausen am Albis",2882,14,39,1
"......0005 Hedingen",2682,30,91,9
"......0006 Kappel am Albis",839,6,2,0
"......0007 Knonau",1333,9,38,0
"......0008 Maschwanden",551,2,3,0
"......0009 Mettmenstetten",3455,20,57,2
"......0010 Obfelden",3790,31,164,13
"......0011 Ottenbach",2059,18,35,4
"......0012 Rifferswil",710,5,2,1
"......0013 Stallikon",2382,49,26,3
"......0014 Wettswil am Albis",3527,54,50,7
"......0021 Adlikon",579,1,0,0
"......0022 Benken (ZH)",667,10,4,0
"......0023 Berg am Irchel",556,2,3,1
"......0024 Buch am Irchel",728,1,0,0
"......0025 Dachsen",1485,10,24,2
"......0026 Dorf",574,2,1,0
"......0027 Feuerthalen",2673,10,90,2
"......0028 Flaach",1069,4,5,4
"......0029 Flurlingen",1200,7,11,1
"......0030 Andelfingen",1492,5,64,0
"......0031 Henggart",1537,11,17,0
"......0032 Humlikon",388,6,2,2
"......0033 Kleinandelfingen",1678,8,37,1
"......0034 Laufen-Uhwiesen",1367,6,5,1
"......0035 Marthalen",1721,11,10,7
"......0036 Oberstammheim",1023,7,7,0
"......0037 Ossingen",1216,4,6,3
"......0038 Rheinau",1440,13,13,1
"......0039 Thalheim an der Thur",596,2,1,0
"......0040 Trüllikon",956,1,5,0
"......0041 Truttikon",423,0,2,1
"......0042 Unterstammheim",833,2,1,1
"......0043 Volken",249,0,1,0
"......0044 Waltalingen",673,4,2,0
"......0051 Bachenbülach",2455,49,145,5
"......0052 Bassersdorf",6408,91,282,8
"......0053 Bülach",11750,153,645,19
"......0054 Dietlikon",5199,96,325,17
"......0055 Eglisau",2613,30,85,4
"......0056 Embrach",6427,94,239,24
"......0057 Freienstein-Teufen",1922,15,46,2
"......0058 Glattfelden",3076,18,132,6
"......0059 Hochfelden",1398,22,38,1
"......0060 Höri",1776,13,216,1
"......0061 Hüntwangen",768,4,6,0
"......0062 Kloten",13286,335,690,41
"......0063 Lufingen",1034,13,20,0
"......0064 Nürensdorf",4103,52,98,5
"......0065 Oberembrach",954,10,6,0
"......0066 Opfikon",8661,200,643,31
"......0067 Rafz",3108,18,86,3
"......0068 Rorbas",1918,29,59,7
"......0069 Wallisellen",9870,169,447,28
"......0070 Wasterkingen",553,4,0,1
"......0071 Wil (ZH)",1265,7,9,0
"......0072 Winkel",3045,48,44,7
"......0081 Bachs",548,6,4,0
"......0082 Boppelsen",958,7,3,6
"......0083 Buchs (ZH)",3705,40,111,9
"......0084 Dällikon",2739,28,128,1
"......0085 Dänikon",1539,12,48,1
"......0086 Dielsdorf",4029,60,196,7
"......0087 Hüttikon",488,2,4,0
"......0088 Neerach",2229,40,22,4
"......0089 Niederglatt",3270,35,176,6
"......0090 Niederhasli",6386,91,350,6
"......0091 Niederweningen",2041,27,37,5
"......0092 Oberglatt",3980,56,268,8
"......0093 Oberweningen",1217,8,21,2
"......0094 Otelfingen",1731,21,56,1
"......0095 Regensberg",415,6,2,1
"......0096 Regensdorf",11757,180,841,41
"......0097 Rümlang",4617,55,258,12
"......0098 Schleinikon",620,3,2,0
"......0099 Schöfflisdorf",1021,9,16,2
"......0100 Stadel",1631,11,11,1
"......0101 Steinmaur",2460,27,57,4
"......0102 Weiach",949,10,6,1
"......0111 Bäretswil",3950,19,67,6
"......0112 Bubikon",5015,34,110,8
"......0113 Dürnten",5469,31,150,9
"......0114 Fischenthal",1894,5,13,0
"......0115 Gossau (ZH)",8082,45,170,20
"......0116 Grüningen",2662,21,61,3
"......0117 Hinwil",8416,45,222,16
"......0118 Rüti (ZH)",9346,62,491,15
"......0119 Seegräben",1147,7,17,1
"......0120 Wald (ZH)",7034,31,432,17
"......0121 Wetzikon (ZH)",15206,116,1031,31
"......0131 Adliswil",12802,298,769,35
"......0132 Hirzel",1806,17,15,2
"......0133 Horgen",13947,170,985,28
"......0134 Hütten",816,9,4,1
"......0135 Kilchberg (ZH)",5987,137,200,9
"......0136 Langnau am Albis",5609,89,341,10
"......0137 Oberrieden",4159,60,92,5
"......0138 Richterswil",9296,97,302,15
"......0139 Rüschlikon",4115,103,111,7
"......0140 Schönenberg (ZH)",1755,15,6,0
"......0141 Thalwil",13335,264,709,43
"......0142 Wädenswil",16463,213,754,29
"......0151 Erlenbach (ZH)",3930,69,125,9
"......0152 Herrliberg",4900,118,66,12
"......0153 Hombrechtikon",6416,49,179,11
"......0154 Küsnacht (ZH)",10700,226,307,20
"......0155 Männedorf",7308,76,209,16
"......0156 Meilen",10151,176,278,23
"......0157 Oetwil am See",3516,30,163,8
"......0158 Stäfa",10293,114,382,16
"......0159 Uetikon am See",4553,64,139,9
"......0160 Zumikon",3955,87,149,7
"......0161 Zollikon",10003,265,274,24
"......0171 Bauma",3902,12,71,4
"......0172 Fehraltorf",4143,37,123,13
"......0173 Hittnau",2838,21,28,4
"......0174 Illnau-Effretikon",12339,116,628,32
"......0175 Kyburg",389,0,1,1
"......0176 Lindau",3497,38,150,5
"......0177 Pfäffikon",8274,43,439,14
"......0178 Russikon",3667,28,44,4
"......0179 Sternenberg",343,1,0,0
"......0180 Weisslingen",2729,14,30,1
"......0181 Wila",1700,8,20,3
"......0182 Wildberg",870,5,2,0
"......0191 Dübendorf",18126,421,986,46
"......0192 Egg",6524,66,184,13
"......0193 Fällanden",5676,129,110,7
"......0194 Greifensee",4632,89,76,9
"......0195 Maur",7567,183,142,19
"......0196 Mönchaltorf",2982,32,55,4
"......0197 Schwerzenbach",3631,64,151,7
"......0198 Uster",24084,240,1266,60
"......0199 Volketswil",11974,152,434,16
"......0200 Wangen-Brüttisellen",4865,75,315,15
"......0211 Altikon",615,0,1,0
"......0212 Bertschikon",948,7,9,0
"......0213 Brütten",1717,20,12,2
"......0214 Dägerlen",812,3,5,1
"......0215 Dättlikon",511,1,2,0
"......0216 Dinhard",1277,6,7,0
"......0217 Elgg",3256,19,82,4
"......0218 Ellikon an der Thur",698,4,3,0
"......0219 Elsau",2727,19,37,4
"......0220 Hagenbuch",1026,7,11,0
"......0221 Hettlingen",2288,23,16,1
"......0222 Hofstetten bei Elgg",415,2,1,0
"......0223 Neftenbach",4268,20,58,3
"......0224 Pfungen",2146,12,152,4
"......0225 Rickenbach (ZH)",1967,7,24,0
"......0226 Schlatt (ZH)",590,1,6,0
"......0227 Seuzach",6059,48,140,6
"......0228 Turbenthal",3582,13,155,2
"......0229 Wiesendangen",3896,45,39,0
"......0230 Winterthur",74669,810,4412,123
"......0231 Zell (ZH)",3963,24,130,2
"......0241 Aesch bei Birmensdorf",902,11,10,1
"......0242 Birmensdorf (ZH)",4761,75,139,9
"......0243 Dietikon",15811,210,1893,39
"......0244 Geroldswil",4139,41,130,4
"......0245 Oberengstringen",4840,92,270,10
"......0246 Oetwil an der Limmat",1956,37,30,7
"......0247 Schlieren",9376,119,1125,32
"......0248 Uitikon",3174,75,48,6
"......0249 Unterengstringen",2500,46,84,9
"......0250 Urdorf",8042,100,334,15
"......0251 Weiningen (ZH)",3217,37,148,4
"......0261 Zürich",270736,6799,15465,736
"......0301 Aarberg",3465,45,52,1
"......0302 Bargen (BE)",879,3,7,2
"......0303 Grossaffoltern",2748,23,12,0
"......0304 Kallnach",1450,11,7,1
"......0305 Kappelen",979,13,5,0
"......0306 Lyss",9118,187,354,6
"......0307 Meikirch",2410,23,19,0
"......0308 Niederried bei Kallnach",263,0,1,0
"......0309 Radelfingen",1186,11,0,0
"......0310 Rapperswil (BE)",1921,29,7,1
"......0311 Schüpfen",3153,36,21,1
"......0312 Seedorf (BE)",2965,20,7,0
"......0321 Aarwangen",3600,15,38,4
"......0322 Auswil",514,0,0,0
"......0323 Bannwil",617,2,1,0
"......0324 Bleienbach",683,5,5,0
"......0325 Busswil bei Melchnau",192,0,0,0
"......0326 Gondiswil",740,1,0,1
"......0327 Gutenburg",114,0,1,0
"......0328 Kleindietwil",523,3,0,0
"......0329 Langenthal",12121,101,483,5
"......0330 Leimiswil",439,0,0,0
"......0331 Lotzwil",2107,10,42,1
"......0332 Madiswil",1996,4,4,0
"......0333 Melchnau",1481,6,16,0
"......0334 Obersteckholz",400,0,0,0
"......0335 Oeschenbach",285,1,1,0
"......0336 Reisiswil",192,5,0,0
"......0337 Roggwil (BE)",3366,8,71,0
"......0338 Rohrbach",1345,3,2,0
"......0339 Rohrbachgraben",438,0,0,0
"......0340 Rütschelen",544,2,0,0
"......0341 Schwarzhäusern",432,5,1,0
"......0342 Thunstetten",2720,15,39,1
"......0343 Untersteckholz",164,0,0,1
"......0344 Ursenbach",893,2,2,0
"......0345 Wynau",1450,9,35,1
"......0351 Bern",100591,4347,4850,147
"......0352 Bolligen",5600,135,60,9
"......0353 Bremgarten bei Bern",3472,71,39,1
"......0354 Kirchlindach",2539,58,18,5
"......0355 Köniz",32599,1003,820,35
"......0356 Muri bei Bern",11279,392,180,8
"......0357 Oberbalm",831,1,1,0
