"Population résidante au domicile économique selon les niveaux géographiques institutionnels et la religion, 1970-2000"

"Canton (-) / District (>>) / Commune (......)","1980","1990","2000"
"......0001 Aeugst am Albis",635,800,940
"......0002 Affoltern am Albis",4475,4917,4739
"......0003 Bonstetten",1356,1564,1936
"......0004 Hausen am Albis",1316,1537,1533
"......0005 Hedingen",1187,1239,1512
"......0006 Kappel am Albis",427,496,495
"......0007 Knonau",620,632,716
"......0008 Maschwanden",334,353,341
"......0009 Mettmenstetten",1598,1868,2068
"......0010 Obfelden",2000,2102,2092
"......0011 Ottenbach",962,1237,1215
"......0012 Rifferswil",435,438,424
"......0013 Stallikon",917,1152,1269
"......0014 Wettswil am Albis",2043,1995,1872
"......0021 Adlikon",385,431,463
"......0022 Benken (ZH)",421,453,517
"......0023 Berg am Irchel",342,371,451
"......0024 Buch am Irchel",396,473,557
"......0025 Dachsen",851,830,1004
"......0026 Dorf",286,365,461
"......0027 Feuerthalen",1850,1647,1549
"......0028 Flaach",759,800,831
"......0029 Flurlingen",683,709,729
"......0030 Andelfingen",1269,1171,1130
"......0031 Henggart",807,929,1148
"......0032 Humlikon",272,263,284
"......0033 Kleinandelfingen",1040,1148,1259
"......0034 Laufen-Uhwiesen",903,941,895
"......0035 Marthalen",1088,1272,1304
"......0036 Oberstammheim",722,829,823
"......0037 Ossingen",811,881,889
"......0038 Rheinau",1118,946,759
"......0039 Thalheim an der Thur",429,426,460
"......0040 Trüllikon",752,802,730
"......0041 Truttikon",286,271,311
"......0042 Unterstammheim",607,664,652
"......0043 Volken",185,177,180
"......0044 Waltalingen",412,425,500
"......0051 Bachenbülach",1587,1485,1410
"......0052 Bassersdorf",3220,3830,3722
"......0053 Bülach",7566,7667,7083
"......0054 Dietlikon",2999,3240,3048
"......0055 Eglisau",1807,1833,1698
"......0056 Embrach",3754,4087,3722
"......0057 Freienstein-Teufen",1067,1171,1232
"......0058 Glattfelden",1699,1955,1950
"......0059 Hochfelden",621,739,923
"......0060 Höri",976,880,1020
"......0061 Hüntwangen",551,549,547
"......0062 Kloten",8597,7952,7436
"......0063 Lufingen",514,589,657
"......0064 Nürensdorf",2204,2432,2422
"......0065 Oberembrach",603,726,685
"......0066 Opfikon",5667,5188,4344
"......0067 Rafz",1770,1901,2109
"......0068 Rorbas",862,1256,1218
"......0069 Wallisellen",6399,6060,5578
"......0070 Wasterkingen",263,375,403
"......0071 Wil (ZH)",761,868,930
"......0072 Winkel",1352,1442,1911
"......0081 Bachs",372,464,412
"......0082 Boppelsen",549,592,627
"......0083 Buchs (ZH)",1227,2008,2098
"......0084 Dällikon",1355,1331,1446
"......0085 Dänikon",623,642,800
"......0086 Dielsdorf",2164,2560,2260
"......0087 Hüttikon",238,256,272
"......0088 Neerach",877,1163,1286
"......0089 Niederglatt",1811,1934,1910
"......0090 Niederhasli",2933,3328,3619
"......0091 Niederweningen",828,942,1158
"......0092 Oberglatt",2368,2195,2166
"......0093 Oberweningen",471,687,749
"......0094 Otelfingen",881,968,1009
"......0095 Regensberg",469,397,278
"......0096 Regensdorf",6486,6670,5957
"......0097 Rümlang",3037,2925,2663
"......0098 Schleinikon",331,369,411
"......0099 Schöfflisdorf",475,717,687
"......0100 Stadel",1079,1093,1142
"......0101 Steinmaur",1455,1571,1464
"......0102 Weiach",513,510,682
"......0111 Bäretswil",2269,2554,2540
"......0112 Bubikon",2574,2972,3129
"......0113 Dürnten",3030,3173,3054
"......0114 Fischenthal",1152,1195,1196
"......0115 Gossau (ZH)",4351,4716,4962
"......0116 Grüningen",1528,1809,1834
"......0117 Hinwil",5033,5236,5052
"......0118 Rüti (ZH)",4972,5312,4714
"......0119 Seegräben",735,650,692
"......0120 Wald (ZH)",3893,4188,3904
"......0121 Wetzikon (ZH)",9325,9115,8544
"......0131 Adliswil",8919,7786,6495
"......0132 Hirzel",973,1116,1090
"......0133 Horgen",9004,8146,7276
"......0134 Hütten",341,401,428
"......0135 Kilchberg (ZH)",4304,3858,3361
"......0136 Langnau am Albis",3623,3341,2956
"......0137 Oberrieden",2555,2533,2360
"......0138 Richterswil",4709,5066,4805
"......0139 Rüschlikon",2970,2617,2250
"......0140 Schönenberg (ZH)",846,1065,1040
"......0141 Thalwil",8198,7739,6817
"......0142 Wädenswil",10307,10190,8941
"......0151 Erlenbach (ZH)",2740,2529,2235
"......0152 Herrliberg",2757,2773,2940
"......0153 Hombrechtikon",4022,4170,3828
"......0154 Küsnacht (ZH)",8133,7059,6363
"......0155 Männedorf",4997,4546,4360
"......0156 Meilen",6816,6370,5966
"......0157 Oetwil am See",2004,2115,2104
"......0158 Stäfa",6469,6173,6009
