"Population résidante au domicile économique selon les niveaux géographiques institutionnels, le sexe, les secteurs économiques et la nationalité, 1970-2000"

"Canton (-) / District (>>) / Commune (......)","1980","1990","2000"
"......0001 Aeugst am Albis",78,55,44
"......0002 Affoltern am Albis",106,121,76
"......0003 Bonstetten",70,46,35
"......0004 Hausen am Albis",151,133,99
"......0005 Hedingen",67,54,30
"......0006 Kappel am Albis",100,92,53
"......0007 Knonau",78,70,49
"......0008 Maschwanden",65,57,37
"......0009 Mettmenstetten",135,144,126
"......0010 Obfelden",73,74,44
"......0011 Ottenbach",48,51,41
"......0012 Rifferswil",64,63,37
"......0013 Stallikon",81,71,41
"......0014 Wettswil am Albis",26,22,26
"......0021 Adlikon",71,57,45
"......0022 Benken (ZH)",58,54,42
"......0023 Berg am Irchel",65,47,34
"......0024 Buch am Irchel",90,76,53
"......0025 Dachsen",31,32,13
"......0026 Dorf",38,48,36
"......0027 Feuerthalen",13,35,12
"......0028 Flaach",96,74,54
"......0029 Flurlingen",7,20,13
"......0030 Andelfingen",55,57,35
"......0031 Henggart",37,26,26
"......0032 Humlikon",25,17,23
"......0033 Kleinandelfingen",96,80,64
"......0034 Laufen-Uhwiesen",55,49,40
"......0035 Marthalen",116,105,62
"......0036 Oberstammheim",137,78,66
"......0037 Ossingen",140,108,76
"......0038 Rheinau",13,49,17
"......0039 Thalheim an der Thur",87,56,51
"......0040 Trüllikon",101,89,70
"......0041 Truttikon",48,38,36
"......0042 Unterstammheim",98,83,60
"......0043 Volken",55,39,23
"......0044 Waltalingen",88,84,57
"......0051 Bachenbülach",25,17,16
"......0052 Bassersdorf",89,66,59
"......0053 Bülach",105,95,109
"......0054 Dietlikon",40,40,35
"......0055 Eglisau",87,54,50
"......0056 Embrach",90,57,67
"......0057 Freienstein-Teufen",77,54,58
"......0058 Glattfelden",75,76,52
"......0059 Hochfelden",42,30,25
"......0060 Höri",49,35,41
"......0061 Hüntwangen",28,18,13
"......0062 Kloten",112,76,89
"......0063 Lufingen",35,27,22
"......0064 Nürensdorf",79,69,63
"......0065 Oberembrach",88,79,50
"......0066 Opfikon",47,52,49
"......0067 Rafz",170,79,109
"......0068 Rorbas",34,24,36
"......0069 Wallisellen",67,46,64
"......0070 Wasterkingen",26,20,16
"......0071 Wil (ZH)",81,50,46
"......0072 Winkel",92,53,58
"......0081 Bachs",78,65,48
"......0082 Boppelsen",41,42,40
"......0083 Buchs (ZH)",59,58,49
"......0084 Dällikon",50,35,59
"......0085 Dänikon",37,29,32
"......0086 Dielsdorf",36,66,54
"......0087 Hüttikon",33,17,23
"......0088 Neerach",63,48,38
"......0089 Niederglatt",41,43,31
"......0090 Niederhasli",113,105,77
"......0091 Niederweningen",64,93,41
"......0092 Oberglatt",63,59,47
"......0093 Oberweningen",31,31,23
"......0094 Otelfingen",38,50,30
"......0095 Regensberg",17,20,20
"......0096 Regensdorf",113,106,114
"......0097 Rümlang",139,103,75
"......0098 Schleinikon",48,31,23
"......0099 Schöfflisdorf",29,19,14
"......0100 Stadel",112,104,67
