"Population résidante au domicile économique selon les niveaux géographiques institutionnels et la religion, 1970-2000"

"Canton (-) / District (>>) / Commune (......)","1980","1990","2000"
"......0001 Aeugst am Albis",42,125,236
"......0002 Affoltern am Albis",276,698,1036
"......0003 Bonstetten",128,275,585
"......0004 Hausen am Albis",137,243,424
"......0005 Hedingen",73,176,396
"......0006 Kappel am Albis",17,48,110
"......0007 Knonau",32,63,142
"......0008 Maschwanden",20,29,56
"......0009 Mettmenstetten",87,216,421
"......0010 Obfelden",124,278,501
"......0011 Ottenbach",46,167,272
"......0012 Rifferswil",27,78,136
"......0013 Stallikon",130,250,487
"......0014 Wettswil am Albis",183,289,596
"......0021 Adlikon",10,13,55
"......0022 Benken (ZH)",10,52,59
"......0023 Berg am Irchel",3,22,47
"......0024 Buch am Irchel",6,24,72
"......0025 Dachsen",35,86,172
"......0026 Dorf",5,8,29
"......0027 Feuerthalen",114,221,393
"......0028 Flaach",15,55,87
"......0029 Flurlingen",46,128,175
"......0030 Andelfingen",91,63,124
"......0031 Henggart",9,41,114
"......0032 Humlikon",14,9,54
"......0033 Kleinandelfingen",37,73,156
"......0034 Laufen-Uhwiesen",39,87,166
"......0035 Marthalen",22,93,157
"......0036 Oberstammheim",15,44,70
"......0037 Ossingen",28,55,105
"......0038 Rheinau",35,114,199
"......0039 Thalheim an der Thur",5,19,73
"......0040 Trüllikon",13,37,83
"......0041 Truttikon",8,21,47
"......0042 Unterstammheim",7,30,65
"......0043 Volken",2,5,24
"......0044 Waltalingen",10,45,73
"......0051 Bachenbülach",73,173,309
"......0052 Bassersdorf",172,504,809
"......0053 Bülach",312,758,1360
"......0054 Dietlikon",207,330,597
"......0055 Eglisau",71,188,339
"......0056 Embrach",202,436,789
"......0057 Freienstein-Teufen",33,118,266
"......0058 Glattfelden",82,190,340
"......0059 Hochfelden",29,67,148
"......0060 Höri",35,95,163
"......0061 Hüntwangen",23,29,96
"......0062 Kloten",640,1160,1998
"......0063 Lufingen",41,81,164
"......0064 Nürensdorf",129,249,540
"......0065 Oberembrach",22,56,105
"......0066 Opfikon",455,887,1322
"......0067 Rafz",27,87,290
"......0068 Rorbas",26,126,250
"......0069 Wallisellen",422,718,1419
"......0070 Wasterkingen",10,33,60
"......0071 Wil (ZH)",22,68,122
"......0072 Winkel",172,241,524
"......0081 Bachs",8,30,55
"......0082 Boppelsen",42,73,133
"......0083 Buchs (ZH)",59,242,503
"......0084 Dällikon",87,144,360
"......0085 Dänikon",38,86,203
"......0086 Dielsdorf",137,264,516
"......0087 Hüttikon",9,33,66
"......0088 Neerach",56,143,393
"......0089 Niederglatt",99,209,359
"......0090 Niederhasli",188,332,835
"......0091 Niederweningen",50,88,255
"......0092 Oberglatt",159,384,623
"......0093 Oberweningen",31,93,145
"......0094 Otelfingen",34,87,183
"......0095 Regensberg",26,38,62
"......0096 Regensdorf",476,981,1662
"......0097 Rümlang",171,369,622
"......0098 Schleinikon",19,44,65
"......0099 Schöfflisdorf",26,56,120
"......0100 Stadel",50,97,217
"......0101 Steinmaur",66,185,298
"......0102 Weiach",20,41,90
"......0111 Bäretswil",121,222,445
"......0112 Bubikon",98,300,570
"......0113 Dürnten",100,333,656
"......0114 Fischenthal",46,106,201
"......0115 Gossau (ZH)",222,487,1029
"......0116 Grüningen",84,168,314
"......0117 Hinwil",259,448,991
"......0118 Rüti (ZH)",161,439,915
"......0119 Seegräben",49,107,169
"......0120 Wald (ZH)",73,349,711
"......0121 Wetzikon (ZH)",539,1082,1919
"......0131 Adliswil",696,1241,2090
"......0132 Hirzel",37,150,184
"......0133 Horgen",511,1104,2032
"......0134 Hütten",20,18,51
"......0135 Kilchberg (ZH)",430,741,1246
"......0136 Langnau am Albis",304,484,802
"......0137 Oberrieden",202,401,656
"......0138 Richterswil",320,719,1259
"......0139 Rüschlikon",245,423,808
"......0140 Schönenberg (ZH)",36,95,159
"......0141 Thalwil",770,1388,2374
"......0142 Wädenswil",741,1380,2308
"......0151 Erlenbach (ZH)",157,367,723
"......0152 Herrliberg",237,395,798
"......0153 Hombrechtikon",157,425,768
"......0154 Küsnacht (ZH)",674,1227,1896
"......0155 Männedorf",358,586,1246
"......0156 Meilen",434,874,1683
"......0157 Oetwil am See",121,315,488
"......0158 Stäfa",356,725,1576
"......0159 Uetikon am See",139,285,709
"......0160 Zumikon",276,475,696
"......0161 Zollikon",730,1242,1923
"......0171 Bauma",58,243,383
"......0172 Fehraltorf",91,284,554
"......0173 Hittnau",28,143,331
"......0174 Illnau-Effretikon",513,1040,1624
"......0175 Kyburg",13,26,61
"......0176 Lindau",102,203,397
"......0177 Pfäffikon",233,488,911
"......0178 Russikon",131,236,449
"......0179 Sternenberg",6,38,56
"......0180 Weisslingen",43,136,308
"......0181 Wila",45,100,183
"......0182 Wildberg",34,31,111
"......0191 Dübendorf",798,1669,2758
"......0192 Egg",302,513,1041
"......0193 Fällanden",532,792,1147
"......0194 Greifensee",258,374,666
"......0195 Maur",471,748,1593
"......0196 Mönchaltorf",157,299,426
"......0197 Schwerzenbach",134,262,530
"......0198 Uster",701,1491,3341
"......0199 Volketswil",416,831,1584
"......0200 Wangen-Brüttisellen",161,347,727
"......0211 Altikon",12,24,46
"......0212 Bertschikon",4,31,55
"......0213 Brütten",55,118,224
"......0214 Dägerlen",15,42,80
"......0215 Dättlikon",6,14,41
"......0216 Dinhard",25,64,121
"......0217 Elgg",50,124,313
"......0218 Ellikon an der Thur",2,18,62
"......0219 Elsau",63,110,278
"......0220 Hagenbuch",5,30,122
"......0221 Hettlingen",31,97,264
"......0222 Hofstetten bei Elgg",5,5,42
"......0223 Neftenbach",56,217,478
"......0224 Pfungen",37,114,218
"......0225 Rickenbach (ZH)",42,60,151
"......0226 Schlatt (ZH)",7,53,62
"......0227 Seuzach",115,300,636
"......0228 Turbenthal",63,238,392
"......0229 Wiesendangen",44,104,324
"......0230 Winterthur",2786,5677,10214
"......0231 Zell (ZH)",67,175,441
"......0241 Aesch bei Birmensdorf",16,87,125
"......0242 Birmensdorf (ZH)",204,429,761
"......0243 Dietikon",613,1165,2009
"......0244 Geroldswil",207,330,611
"......0245 Oberengstringen",266,467,752
"......0246 Oetwil an der Limmat",60,190,325
"......0247 Schlieren",401,952,1229
"......0248 Uitikon",143,342,614
"......0249 Unterengstringen",132,275,365
"......0250 Urdorf",270,538,1047
"......0251 Weiningen (ZH)",122,199,421
"......0261 Zürich",20461,36696,61153
"......0301 Aarberg",37,60,182
"......0302 Bargen (BE)",3,16,24
"......0303 Grossaffoltern",41,87,187
"......0304 Kallnach",5,19,53
"......0305 Kappelen",7,12,65
"......0306 Lyss",106,334,751
"......0307 Meikirch",68,120,217
"......0308 Niederried bei Kallnach",0,2,9
"......0309 Radelfingen",13,41,58
"......0310 Rapperswil (BE)",27,70,123
"......0311 Schüpfen",43,101,223
"......0312 Seedorf (BE)",34,65,116
"......0321 Aarwangen",34,132,216
"......0322 Auswil",3,3,12
"......0323 Bannwil",1,23,26
"......0324 Bleienbach",10,19,39
"......0325 Busswil bei Melchnau",0,9,3
"......0326 Gondiswil",1,3,18
"......0327 Gutenburg",0,1,15
"......0328 Kleindietwil",2,2,27
"......0329 Langenthal",106,417,794
"......0330 Leimiswil",0,2,12
"......0331 Lotzwil",15,61,117
"......0332 Madiswil",8,33,88
"......0333 Melchnau",6,29,86
"......0334 Obersteckholz",2,3,20
"......0335 Oeschenbach",0,1,4
"......0336 Reisiswil",0,2,2
"......0337 Roggwil (BE)",43,108,198
"......0338 Rohrbach",7,27,51
"......0339 Rohrbachgraben",0,4,4
"......0340 Rütschelen",8,25,34
"......0341 Schwarzhäusern",4,11,12
"......0342 Thunstetten",17,78,191
"......0343 Untersteckholz",0,4,4
"......0344 Ursenbach",11,7,32
"......0345 Wynau",24,54,100
"......0351 Bern",5334,10006,16363
"......0352 Bolligen",167,342,536
"......0353 Bremgarten bei Bern",110,257,396
"......0354 Kirchlindach",142,232,323
"......0355 Köniz",835,1982,3661
"......0356 Muri bei Bern",360,740,1323
"......0357 Oberbalm",9,19,37
"......0358 Stettlen",72,120,213
"......0359 Vechigen",71,138,306
"......0360 Wohlen bei Bern",301,566,941
"......0361 Zollikofen",190,449,826
"......0362 Ittigen",294,709,1092
"......0363 Ostermundigen",345,724,1258
"......0371 Biel (BE)",1993,3959,6012
"......0372 Evilard",124,241,388
"......0381 Arch",9,36,128
"......0382 Büetigen",0,21,38
"......0383 Büren an der Aare",55,83,180
"......0384 Busswil bei Büren",25,78,129
"......0385 Diessbach bei Büren",6,12,49
"......0386 Dotzigen",23,31,82
"......0387 Lengnau (BE)",97,195,364
"......0388 Leuzigen",6,27,72
"......0389 Meienried",1,5,6
"......0390 Meinisberg",16,35,86
"......0391 Oberwil bei Büren",6,20,33
"......0392 Pieterlen",72,134,216
"......0393 Rüti bei Büren",2,16,40
"......0394 Wengi",1,22,45
"......0401 Aefligen",8,25,37
"......0402 Alchenstorf",1,5,20
"......0403 Bäriswil",24,37,73
"......0404 Burgdorf",215,533,986
"......0405 Ersigen",9,24,55
"......0406 Hasle bei Burgdorf",18,73,96
"......0407 Heimiswil",16,30,92
"......0408 Hellsau",6,6,16
"......0409 Hindelbank",27,53,104
"......0410 Höchstetten",4,7,12
"......0411 Kernenried",0,9,28
"......0412 Kirchberg (BE)",35,125,276
"......0413 Koppigen",12,35,70
"......0414 Krauchthal",31,77,146
"......0415 Lyssach",9,49,73
"......0416 Mötschwil",11,6,10
"......0417 Niederösch",3,6,8
"......0418 Oberburg",30,53,132
"......0419 Oberösch",0,0,2
"......0420 Rüdtligen-Alchenflüh",14,49,91
"......0421 Rumendingen",0,3,3
"......0422 Rüti bei Lyssach",0,3,3
"......0423 Willadingen",3,3,8
"......0424 Wynigen",12,31,75
"......0431 Corgémont",45,91,139
"......0432 Cormoret",19,42,61
"......0433 Cortébert",20,38,74
"......0434 Courtelary",25,56,92
"......0435 La Ferrière",12,40,86
"......0436 La Heutte",6,18,45
"......0437 Mont-Tramelan",6,6,7
"......0438 Orvin",40,47,107
"......0439 Péry",49,70,146
"......0440 Plagne",21,31,54
"......0441 Renan (BE)",22,91,104
"......0442 Romont (BE)",0,5,25
"......0443 Saint-Imier",156,333,617
"......0444 Sonceboz-Sombeval",25,97,172
"......0445 Sonvilier",31,90,129
"......0446 Tramelan",108,163,286
"......0447 Vauffelin",14,40,56
"......0448 Villeret",57,117,174
