"Statistique de la superficie: Nomenclature standard (NOAS04) par district et commune, en hectares"

"District (>>) / Commune (......)","1979/85","1992/97","2004/09"
"1 ......Aeugst am Albis",787,787,787
"2 ......Affoltern am Albis",1060,1060,1060
"3 ......Bonstetten",745,745,745
"4 ......Hausen am Albis",1368,1368,1368
"5 ......Hedingen",653,653,653
"6 ......Kappel am Albis",783,783,783
"7 ......Knonau",651,651,651
"8 ......Maschwanden",468,468,468
"9 ......Mettmenstetten",1305,1305,1305
"10 ......Obfelden",755,755,755
"11 ......Ottenbach",498,498,498
"12 ......Rifferswil",657,657,657
"13 ......Stallikon",1201,1201,1201
"14 ......Wettswil am Albis",377,377,377
"21 ......Adlikon",664,664,664
"22 ......Benken (ZH)",567,567,567
"23 ......Berg am Irchel",706,706,706
"24 ......Buch am Irchel",1012,1012,1012
"25 ......Dachsen",269,269,269
"26 ......Dorf",554,554,554
"27 ......Feuerthalen",250,250,250
"28 ......Flaach",1020,1020,1020
"29 ......Flurlingen",240,240,240
"30 ......Andelfingen",669,669,669
"31 ......Henggart",306,306,306
"32 ......Humlikon",368,368,368
"33 ......Kleinandelfingen",1029,1029,1029
"34 ......Laufen-Uhwiesen",625,625,625
"35 ......Marthalen",1415,1415,1415
"36 ......Oberstammheim",938,938,938
"37 ......Ossingen",1311,1311,1311
"38 ......Rheinau",893,893,893
"39 ......Thalheim an der Thur",644,644,644
"40 ......Trüllikon",956,956,956
"41 ......Truttikon",443,443,443
"42 ......Unterstammheim",727,727,727
"43 ......Volken",327,327,327
"44 ......Waltalingen",728,728,728
"51 ......Bachenbülach",429,429,429
"52 ......Bassersdorf",899,899,899
"53 ......Bülach",1610,1610,1610
"54 ......Dietlikon",422,422,422
"55 ......Eglisau",908,908,908
"56 ......Embrach",1274,1274,1274
"57 ......Freienstein-Teufen",833,833,833
"58 ......Glattfelden",1231,1231,1231
"59 ......Hochfelden",615,615,615
"60 ......Höri",477,477,477
"61 ......Hüntwangen",493,493,493
"62 ......Kloten",1930,1930,1930
"63 ......Lufingen",519,519,519
"64 ......Nürensdorf",1009,1009,1009
"65 ......Oberembrach",1018,1018,1018
"66 ......Opfikon",561,561,561
"67 ......Rafz",1072,1072,1072
"68 ......Rorbas",446,446,446
"69 ......Wallisellen",646,646,646
"70 ......Wasterkingen",394,394,394
"71 ......Wil (ZH)",897,897,897
"72 ......Winkel",810,810,810
"81 ......Bachs",915,915,915
"82 ......Boppelsen",392,392,392
"83 ......Buchs (ZH)",588,588,588
"84 ......Dällikon",448,448,448
"85 ......Dänikon",280,280,280
"86 ......Dielsdorf",587,587,587
"87 ......Hüttikon",160,160,160
"88 ......Neerach",600,600,600
"89 ......Niederglatt",360,360,360
"90 ......Niederhasli",1131,1131,1131
"91 ......Niederweningen",688,688,688
"92 ......Oberglatt",823,823,823
"93 ......Oberweningen",488,488,488
"94 ......Otelfingen",721,721,721
"95 ......Regensberg",238,238,238
"96 ......Regensdorf",1463,1463,1463
"97 ......Rümlang",1246,1246,1246
"98 ......Schleinikon",565,565,565
"99 ......Schöfflisdorf",399,399,399
"100 ......Stadel",1289,1289,1289
"101 ......Steinmaur",947,947,947
"102 ......Weiach",958,958,958
"111 ......Bäretswil",2219,2219,2219
"112 ......Bubikon",1164,1164,1164
"113 ......Dürnten",1021,1021,1021
"114 ......Fischenthal",3016,3016,3016
"115 ......Gossau (ZH)",1828,1828,1828
"116 ......Grüningen",880,880,880
"117 ......Hinwil",2231,2231,2231
"118 ......Rüti (ZH)",1008,1008,1008
"119 ......Seegräben",377,377,377
"120 ......Wald (ZH)",2524,2524,2524
"121 ......Wetzikon (ZH)",1671,1671,1671
"131 ......Adliswil",780,780,780
"132 ......Hirzel",970,970,970
"133 ......Horgen",2113,2113,2113
"134 ......Hütten",724,724,724
"135 ......Kilchberg (ZH)",260,260,260
"136 ......Langnau am Albis",865,865,865
